model;attack;base_class;target_class;epochs;lr;poison_num;epsilon;watermark_opacity;step_size;iterations;run;success;clean_acc;poisoned_acc
model_cat_lr0.0075;fc;1;0;20;0.1;30;0.03;0.2;0.01;4000;4;True;0.74;0.72
model_cat_lr0.0075;fc;1;0;20;0.1;30;0.03;0.2;0.01;4000;5;True;0.74;0.72
model_cat_lr0.0075;fc;1;0;20;0.1;60;0.03;0.0;0.01;2000;1;True;0.74;0.76
model_cat_lr0.0075;fc;1;0;20;0.1;60;0.03;0.0;0.01;2000;2;True;0.74;0.74
model_cat_lr0.0075;fc;1;0;20;0.1;60;0.03;0.0;0.01;2000;3;True;0.74;0.76
model_cat_lr0.0075;fc;1;0;20;0.1;60;0.03;0.0;0.01;2000;4;True;0.74;0.76
model_cat_lr0.0075;fc;1;0;20;0.1;60;0.03;0.0;0.01;2000;5;True;0.74;0.76
model_cat_lr0.0075;fc;1;0;20;0.1;60;0.03;0.0;0.01;4000;1;True;0.74;0.76
model_cat_lr0.0075;fc;1;0;20;0.1;60;0.03;0.0;0.01;4000;2;True;0.74;0.76
model_cat_lr0.0075;fc;1;0;20;0.1;60;0.03;0.0;0.01;4000;3;True;0.74;0.76
model_cat_lr0.0075;fc;1;0;20;0.1;60;0.03;0.0;0.01;4000;4;True;0.74;0.76
model_cat_lr0.0075;fc;1;0;20;0.1;60;0.03;0.0;0.01;4000;5;True;0.74;0.76
model_cat_lr0.0075;fc;1;0;20;0.1;60;0.03;0.2;0.01;2000;1;True;0.74;0.72
model_cat_lr0.0075;fc;1;0;20;0.1;60;0.03;0.2;0.01;2000;2;True;0.74;0.72
model_cat_lr0.0075;fc;1;0;20;0.1;60;0.03;0.2;0.01;2000;3;True;0.74;0.72
model_cat_lr0.0075;fc;1;0;20;0.1;60;0.03;0.2;0.01;2000;4;True;0.74;0.72
model_cat_lr0.0075;fc;1;0;20;0.1;60;0.03;0.2;0.01;2000;5;True;0.74;0.72
model_cat_lr0.0075;fc;1;0;20;0.1;60;0.03;0.2;0.01;4000;1;True;0.74;0.72
model_cat_lr0.0075;fc;1;0;20;0.1;60;0.03;0.2;0.01;4000;2;True;0.74;0.76
model_cat_lr0.0075;fc;1;0;20;0.1;60;0.03;0.2;0.01;4000;3;True;0.74;0.76
model_cat_lr0.0075;fc;1;0;20;0.1;60;0.03;0.2;0.01;4000;4;True;0.74;0.76
model_cat_lr0.0075;fc;1;0;20;0.1;60;0.03;0.2;0.01;4000;5;True;0.74;0.72
model_cat_lr0.0075;fc;1;0;20;0.1;30;0.05;0.0;0.01;2000;1;True;0.74;0.72
model_cat_lr0.0075;fc;1;0;20;0.1;30;0.05;0.0;0.01;2000;2;True;0.74;0.72
model_cat_lr0.0075;fc;1;0;20;0.1;30;0.05;0.0;0.01;2000;3;True;0.74;0.72
model_cat_lr0.0075;fc;1;0;20;0.1;30;0.05;0.0;0.01;2000;4;True;0.74;0.72
model_cat_lr0.0075;fc;1;0;20;0.1;30;0.05;0.0;0.01;2000;5;True;0.74;0.72
model_cat_lr0.0075;fc;1;0;20;0.1;30;0.05;0.0;0.01;4000;1;True;0.74;0.72
model_cat_lr0.0075;fc;1;0;20;0.1;30;0.05;0.0;0.01;4000;2;True;0.74;0.72
model_cat_lr0.0075;fc;1;0;20;0.1;30;0.05;0.0;0.01;4000;3;True;0.74;0.72
model_cat_lr0.0075;fc;1;0;20;0.1;30;0.05;0.0;0.01;4000;4;True;0.74;0.72
model_cat_lr0.0075;fc;1;0;20;0.1;30;0.05;0.0;0.01;4000;5;True;0.74;0.72
model_cat_lr0.0075;fc;1;0;20;0.1;30;0.05;0.2;0.01;2000;1;True;0.74;0.72
model_cat_lr0.0075;fc;1;0;20;0.1;30;0.05;0.2;0.01;2000;2;True;0.74;0.72
model_cat_lr0.0075;fc;1;0;20;0.1;30;0.05;0.2;0.01;2000;3;True;0.74;0.72
model_cat_lr0.0075;fc;1;0;20;0.1;30;0.05;0.2;0.01;2000;4;True;0.74;0.72
model_cat_lr0.0075;fc;1;0;20;0.1;30;0.05;0.2;0.01;2000;5;True;0.74;0.72
model_cat_lr0.0075;fc;1;0;20;0.1;30;0.05;0.2;0.01;4000;1;True;0.74;0.72
model_cat_lr0.0075;fc;1;0;20;0.1;30;0.05;0.2;0.01;4000;2;True;0.74;0.72
model_cat_lr0.0075;fc;1;0;20;0.1;30;0.05;0.2;0.01;4000;3;True;0.74;0.72
model_cat_lr0.0075;fc;1;0;20;0.1;30;0.05;0.2;0.01;4000;4;True;0.74;0.72
model_cat_lr0.0075;fc;1;0;20;0.1;30;0.05;0.2;0.01;4000;5;True;0.74;0.72
model_cat_lr0.0075;fc;1;0;20;0.1;60;0.05;0.0;0.01;2000;1;True;0.74;0.76
model_cat_lr0.0075;fc;1;0;20;0.1;60;0.05;0.0;0.01;2000;2;True;0.74;0.76
model_cat_lr0.0075;fc;1;0;20;0.1;60;0.05;0.0;0.01;2000;3;True;0.74;0.74
model_cat_lr0.0075;fc;1;0;20;0.1;60;0.05;0.0;0.01;2000;4;True;0.74;0.74
model_cat_lr0.0075;fc;1;0;20;0.1;60;0.05;0.0;0.01;2000;5;True;0.74;0.74
model_cat_lr0.0075;fc;1;0;20;0.1;60;0.05;0.0;0.01;4000;1;True;0.74;0.74
model_cat_lr0.0075;fc;1;0;20;0.1;60;0.05;0.0;0.01;4000;2;True;0.74;0.74
model_cat_lr0.0075;fc;1;0;20;0.1;60;0.05;0.0;0.01;4000;3;True;0.74;0.74
model_cat_lr0.0075;fc;1;0;20;0.1;60;0.05;0.0;0.01;4000;4;True;0.74;0.76
model_cat_lr0.0075;fc;1;0;20;0.1;60;0.05;0.0;0.01;4000;5;True;0.74;0.74
model_cat_lr0.0075;fc;1;0;20;0.1;60;0.05;0.2;0.01;2000;1;True;0.74;0.76
model_cat_lr0.0075;fc;1;0;20;0.1;60;0.05;0.2;0.01;2000;2;True;0.74;0.74
model_cat_lr0.0075;fc;1;0;20;0.1;60;0.05;0.2;0.01;2000;3;True;0.74;0.76
model_cat_lr0.0075;fc;1;0;20;0.1;60;0.05;0.2;0.01;2000;4;True;0.74;0.74
model_cat_lr0.0075;fc;1;0;20;0.1;60;0.05;0.2;0.01;2000;5;True;0.74;0.74
model_cat_lr0.0075;fc;1;0;20;0.1;60;0.05;0.2;0.01;4000;1;True;0.74;0.72
model_cat_lr0.0075;fc;1;0;20;0.1;60;0.05;0.2;0.01;4000;2;True;0.74;0.74
model_cat_lr0.0075;fc;1;0;20;0.1;60;0.05;0.2;0.01;4000;3;True;0.74;0.76
model_cat_lr0.0075;fc;1;0;20;0.1;60;0.05;0.2;0.01;4000;4;True;0.74;0.72
model_cat_lr0.0075;fc;1;0;20;0.1;60;0.05;0.2;0.01;4000;5;True;0.74;0.76
model_cat_lr0.0075;polytope;1;0;20;0.1;30;0.01;0.0;0.01;2000;1;True;0.74;0.72
model_cat_lr0.0075;polytope;1;0;20;0.1;30;0.01;0.0;0.01;2000;2;True;0.74;0.72
model_cat_lr0.0075;polytope;1;0;20;0.1;30;0.01;0.0;0.01;2000;3;True;0.74;0.72
model_cat_lr0.0075;polytope;1;0;20;0.1;30;0.01;0.0;0.01;2000;4;True;0.74;0.72
model_cat_lr0.0075;polytope;1;0;20;0.1;30;0.01;0.0;0.01;2000;5;True;0.74;0.72
model_cat_lr0.0075;polytope;1;0;20;0.1;30;0.01;0.0;0.01;4000;1;True;0.74;0.72
model_cat_lr0.0075;polytope;1;0;20;0.1;30;0.01;0.0;0.01;4000;2;True;0.74;0.72
model_cat_lr0.0075;polytope;1;0;20;0.1;30;0.01;0.0;0.01;4000;3;True;0.74;0.72
model_cat_lr0.0075;polytope;1;0;20;0.1;30;0.01;0.0;0.01;4000;4;True;0.74;0.72
model_cat_lr0.0075;polytope;1;0;20;0.1;30;0.01;0.0;0.01;4000;5;True;0.74;0.72
model_cat_lr0.0075;polytope;1;0;20;0.1;30;0.01;0.2;0.01;2000;1;True;0.74;0.72
model_cat_lr0.0075;polytope;1;0;20;0.1;30;0.01;0.2;0.01;2000;2;True;0.74;0.72
model_cat_lr0.0075;polytope;1;0;20;0.1;30;0.01;0.2;0.01;2000;3;True;0.74;0.72
model_cat_lr0.0075;polytope;1;0;20;0.1;30;0.01;0.2;0.01;2000;4;True;0.74;0.72
model_cat_lr0.0075;polytope;1;0;20;0.1;30;0.01;0.2;0.01;2000;5;True;0.74;0.72
model_cat_lr0.0075;polytope;1;0;20;0.1;30;0.01;0.2;0.01;4000;1;True;0.74;0.72
model_cat_lr0.0075;polytope;1;0;20;0.1;30;0.01;0.2;0.01;4000;2;True;0.74;0.72
model_cat_lr0.0075;polytope;1;0;20;0.1;30;0.01;0.2;0.01;4000;3;True;0.74;0.72
model_cat_lr0.0075;polytope;1;0;20;0.1;30;0.01;0.2;0.01;4000;4;True;0.74;0.72
model_cat_lr0.0075;polytope;1;0;20;0.1;30;0.01;0.2;0.01;4000;5;True;0.74;0.72
model_cat_lr0.0075;polytope;1;0;20;0.1;60;0.01;0.0;0.01;2000;1;True;0.74;0.72
model_cat_lr0.0075;polytope;1;0;20;0.1;60;0.01;0.0;0.01;2000;2;True;0.74;0.72
model_cat_lr0.0075;polytope;1;0;20;0.1;60;0.01;0.0;0.01;2000;3;True;0.74;0.72
model_cat_lr0.0075;polytope;1;0;20;0.1;60;0.01;0.0;0.01;2000;4;True;0.74;0.72
model_cat_lr0.0075;polytope;1;0;20;0.1;60;0.01;0.0;0.01;2000;5;True;0.74;0.72
model_cat_lr0.0075;polytope;1;0;20;0.1;60;0.01;0.0;0.01;4000;1;True;0.74;0.72
model_cat_lr0.0075;polytope;1;0;20;0.1;60;0.01;0.0;0.01;4000;2;True;0.74;0.72
model_cat_lr0.0075;polytope;1;0;20;0.1;60;0.01;0.0;0.01;4000;3;True;0.74;0.72
model_cat_lr0.0075;polytope;1;0;20;0.1;60;0.01;0.0;0.01;4000;4;True;0.74;0.72
model_cat_lr0.0075;polytope;1;0;20;0.1;60;0.01;0.0;0.01;4000;5;True;0.74;0.72
model_cat_lr0.0075;polytope;1;0;20;0.1;60;0.01;0.2;0.01;2000;1;True;0.74;0.72
model_cat_lr0.0075;polytope;1;0;20;0.1;60;0.01;0.2;0.01;2000;2;True;0.74;0.72
model_cat_lr0.0075;polytope;1;0;20;0.1;60;0.01;0.2;0.01;2000;3;True;0.74;0.72
model_cat_lr0.0075;polytope;1;0;20;0.1;60;0.01;0.2;0.01;2000;4;True;0.74;0.72
model_cat_lr0.0075;polytope;1;0;20;0.1;60;0.01;0.2;0.01;2000;5;True;0.74;0.72
model_cat_lr0.0075;polytope;1;0;20;0.1;60;0.01;0.2;0.01;4000;1;True;0.74;0.72
model_cat_lr0.0075;polytope;1;0;20;0.1;60;0.01;0.2;0.01;4000;2;True;0.74;0.72
model_cat_lr0.0075;polytope;1;0;20;0.1;60;0.01;0.2;0.01;4000;3;True;0.74;0.72
model_cat_lr0.0075;polytope;1;0;20;0.1;60;0.01;0.2;0.01;4000;4;True;0.74;0.72
model_cat_lr0.0075;polytope;1;0;20;0.1;60;0.01;0.2;0.01;4000;5;True;0.74;0.72
model_cat_lr0.0075;polytope;1;0;20;0.1;30;0.03;0.0;0.01;2000;1;True;0.74;0.74
model_cat_lr0.0075;polytope;1;0;20;0.1;30;0.03;0.0;0.01;2000;2;True;0.74;0.76
model_cat_lr0.0075;polytope;1;0;20;0.1;30;0.03;0.0;0.01;2000;3;True;0.74;0.72
model_cat_lr0.0075;polytope;1;0;20;0.1;30;0.03;0.0;0.01;2000;4;True;0.74;0.74
model_cat_lr0.0075;polytope;1;0;20;0.1;30;0.03;0.0;0.01;2000;5;True;0.74;0.76
model_cat_lr0.0075;polytope;1;0;20;0.1;30;0.03;0.0;0.01;4000;1;True;0.74;0.72
model_cat_lr0.0075;polytope;1;0;20;0.1;30;0.03;0.0;0.01;4000;2;True;0.74;0.72
model_cat_lr0.0075;polytope;1;0;20;0.1;30;0.03;0.0;0.01;4000;3;True;0.74;0.74
model_cat_lr0.0075;polytope;1;0;20;0.1;30;0.03;0.0;0.01;4000;4;True;0.74;0.72
model_cat_lr0.0075;polytope;1;0;20;0.1;30;0.03;0.0;0.01;4000;5;True;0.74;0.76
model_cat_lr0.0075;polytope;1;0;20;0.1;30;0.03;0.2;0.01;2000;1;False;0.74;0.74
model_cat_lr0.0075;polytope;1;0;20;0.1;30;0.03;0.2;0.01;2000;2;True;0.74;0.72
model_cat_lr0.0075;polytope;1;0;20;0.1;30;0.03;0.2;0.01;2000;3;False;0.74;0.74
model_cat_lr0.0075;polytope;1;0;20;0.1;30;0.03;0.2;0.01;2000;4;True;0.74;0.72
model_cat_lr0.0075;polytope;1;0;20;0.1;30;0.03;0.2;0.01;2000;5;True;0.74;0.72
model_cat_lr0.0075;polytope;1;0;20;0.1;30;0.03;0.2;0.01;4000;1;False;0.74;0.74
model_cat_lr0.0075;polytope;1;0;20;0.1;30;0.03;0.2;0.01;4000;2;False;0.74;0.74
model_cat_lr0.0075;polytope;1;0;20;0.1;30;0.03;0.2;0.01;4000;3;False;0.74;0.74
model_cat_lr0.0075;polytope;1;0;20;0.1;30;0.03;0.2;0.01;4000;4;False;0.74;0.74
model_cat_lr0.0075;polytope;1;0;20;0.1;30;0.03;0.2;0.01;4000;5;True;0.74;0.72
model_cat_lr0.0075;polytope;1;0;20;0.1;60;0.03;0.0;0.01;2000;1;True;0.74;0.76
model_cat_lr0.0075;polytope;1;0;20;0.1;60;0.03;0.0;0.01;2000;2;True;0.74;0.76
model_cat_lr0.0075;polytope;1;0;20;0.1;60;0.03;0.0;0.01;2000;3;True;0.74;0.76
model_cat_lr0.0075;polytope;1;0;20;0.1;60;0.03;0.0;0.01;2000;4;True;0.74;0.76
model_cat_lr0.0075;polytope;1;0;20;0.1;60;0.03;0.0;0.01;2000;5;True;0.74;0.74
model_cat_lr0.0075;polytope;1;0;20;0.1;60;0.03;0.0;0.01;4000;1;True;0.74;0.76
model_cat_lr0.0075;polytope;1;0;20;0.1;60;0.03;0.0;0.01;4000;2;True;0.74;0.76
model_cat_lr0.0075;polytope;1;0;20;0.1;60;0.03;0.0;0.01;4000;3;True;0.74;0.76
model_cat_lr0.0075;polytope;1;0;20;0.1;60;0.03;0.0;0.01;4000;4;True;0.74;0.76
model_cat_lr0.0075;polytope;1;0;20;0.1;60;0.03;0.0;0.01;4000;5;True;0.74;0.76
model_cat_lr0.0075;polytope;1;0;20;0.1;60;0.03;0.2;0.01;2000;1;True;0.74;0.72
model_cat_lr0.0075;polytope;1;0;20;0.1;60;0.03;0.2;0.01;2000;2;True;0.74;0.72
model_cat_lr0.0075;polytope;1;0;20;0.1;60;0.03;0.2;0.01;2000;3;True;0.74;0.72
model_cat_lr0.0075;polytope;1;0;20;0.1;60;0.03;0.2;0.01;2000;4;True;0.74;0.72
model_cat_lr0.0075;polytope;1;0;20;0.1;60;0.03;0.2;0.01;2000;5;True;0.74;0.72
model_cat_lr0.0075;polytope;1;0;20;0.1;60;0.03;0.2;0.01;4000;1;True;0.74;0.72
model_cat_lr0.0075;polytope;1;0;20;0.1;60;0.03;0.2;0.01;4000;2;True;0.74;0.72
model_cat_lr0.0075;polytope;1;0;20;0.1;60;0.03;0.2;0.01;4000;3;True;0.74;0.72
model_cat_lr0.0075;polytope;1;0;20;0.1;60;0.03;0.2;0.01;4000;4;True;0.74;0.72
model_cat_lr0.0075;polytope;1;0;20;0.1;60;0.03;0.2;0.01;4000;5;True;0.74;0.72
model_cat_lr0.0075;polytope;1;0;20;0.1;30;0.05;0.0;0.01;2000;1;True;0.74;0.74
model_cat_lr0.0075;polytope;1;0;20;0.1;30;0.05;0.0;0.01;2000;2;True;0.74;0.72
model_cat_lr0.0075;polytope;1;0;20;0.1;30;0.05;0.0;0.01;2000;3;True;0.74;0.76
model_cat_lr0.0075;polytope;1;0;20;0.1;30;0.05;0.0;0.01;2000;4;True;0.74;0.76
model_cat_lr0.0075;polytope;1;0;20;0.1;30;0.05;0.0;0.01;2000;5;True;0.74;0.76
model_cat_lr0.0075;polytope;1;0;20;0.1;30;0.05;0.0;0.01;4000;1;True;0.74;0.72
model_cat_lr0.0075;polytope;1;0;20;0.1;30;0.05;0.0;0.01;4000;2;True;0.74;0.72
model_cat_lr0.0075;polytope;1;0;20;0.1;30;0.05;0.0;0.01;4000;3;True;0.74;0.74
model_cat_lr0.0075;polytope;1;0;20;0.1;30;0.05;0.0;0.01;4000;4;True;0.74;0.72
model_cat_lr0.0075;polytope;1;0;20;0.1;30;0.05;0.0;0.01;4000;5;True;0.74;0.76
model_cat_lr0.0075;polytope;1;0;20;0.1;30;0.05;0.2;0.01;2000;1;True;0.74;0.72
model_cat_lr0.0075;polytope;1;0;20;0.1;30;0.05;0.2;0.01;2000;2;True;0.74;0.72
model_cat_lr0.0075;polytope;1;0;20;0.1;30;0.05;0.2;0.01;2000;3;True;0.74;0.72
model_cat_lr0.0075;polytope;1;0;20;0.1;30;0.05;0.2;0.01;2000;4;True;0.74;0.72
model_cat_lr0.0075;polytope;1;0;20;0.1;30;0.05;0.2;0.01;2000;5;True;0.74;0.72
model_cat_lr0.0075;polytope;1;0;20;0.1;30;0.05;0.2;0.01;4000;1;True;0.74;0.72
model_cat_lr0.0075;polytope;1;0;20;0.1;30;0.05;0.2;0.01;4000;2;True;0.74;0.72
model_cat_lr0.0075;polytope;1;0;20;0.1;30;0.05;0.2;0.01;4000;3;True;0.74;0.72
model_cat_lr0.0075;polytope;1;0;20;0.1;30;0.05;0.2;0.01;4000;4;True;0.74;0.72
model_cat_lr0.0075;polytope;1;0;20;0.1;30;0.05;0.2;0.01;4000;5;True;0.74;0.72
model_cat_lr0.0075;polytope;1;0;20;0.1;60;0.05;0.0;0.01;2000;1;True;0.74;0.74
model_cat_lr0.0075;polytope;1;0;20;0.1;60;0.05;0.0;0.01;2000;2;True;0.74;0.76
model_cat_lr0.0075;polytope;1;0;20;0.1;60;0.05;0.0;0.01;2000;3;True;0.74;0.76
model_cat_lr0.0075;polytope;1;0;20;0.1;60;0.05;0.0;0.01;2000;4;True;0.74;0.76
model_cat_lr0.0075;polytope;1;0;20;0.1;60;0.05;0.0;0.01;2000;5;True;0.74;0.74
model_cat_lr0.0075;polytope;1;0;20;0.1;60;0.05;0.0;0.01;4000;1;True;0.74;0.76
model_cat_lr0.0075;polytope;1;0;20;0.1;60;0.05;0.0;0.01;4000;2;True;0.74;0.76
model_cat_lr0.0075;polytope;1;0;20;0.1;60;0.05;0.0;0.01;4000;3;True;0.74;0.74
model_cat_lr0.0075;polytope;1;0;20;0.1;60;0.05;0.0;0.01;4000;4;True;0.74;0.76
model_cat_lr0.0075;polytope;1;0;20;0.1;60;0.05;0.0;0.01;4000;5;True;0.74;0.76
model_cat_lr0.0075;polytope;1;0;20;0.1;60;0.05;0.2;0.01;2000;1;True;0.74;0.76
model_cat_lr0.0075;polytope;1;0;20;0.1;60;0.05;0.2;0.01;2000;2;True;0.74;0.74
model_cat_lr0.0075;polytope;1;0;20;0.1;60;0.05;0.2;0.01;2000;3;True;0.74;0.76
model_cat_lr0.0075;polytope;1;0;20;0.1;60;0.05;0.2;0.01;2000;4;True;0.74;0.74
model_cat_lr0.0075;polytope;1;0;20;0.1;60;0.05;0.2;0.01;2000;5;True;0.74;0.74
model_cat_lr0.0075;polytope;1;0;20;0.1;60;0.05;0.2;0.01;4000;1;True;0.74;0.76
model_cat_lr0.0075;polytope;1;0;20;0.1;60;0.05;0.2;0.01;4000;2;True;0.74;0.74
model_cat_lr0.0075;polytope;1;0;20;0.1;60;0.05;0.2;0.01;4000;3;True;0.74;0.74
model_cat_lr0.0075;polytope;1;0;20;0.1;60;0.05;0.2;0.01;4000;4;True;0.74;0.74
model_cat_lr0.0075;polytope;1;0;20;0.1;60;0.05;0.2;0.01;4000;5;True;0.74;0.76
model_cat_lr0.0075;gradient;1;0;20;0.1;30;0.01;0.0;0.01;2000;1;True;0.74;0.72
model_cat_lr0.0075;gradient;1;0;20;0.1;30;0.01;0.0;0.01;2000;2;True;0.74;0.72
model_cat_lr0.0075;gradient;1;0;20;0.1;30;0.01;0.0;0.01;2000;3;True;0.74;0.72
model_cat_lr0.0075;gradient;1;0;20;0.1;30;0.01;0.0;0.01;2000;4;True;0.74;0.72
model_cat_lr0.0075;gradient;1;0;20;0.1;30;0.01;0.0;0.01;2000;5;True;0.74;0.72
model_cat_lr0.0075;gradient;1;0;20;0.1;30;0.01;0.0;0.01;4000;1;True;0.74;0.72
model_cat_lr0.0075;gradient;1;0;20;0.1;30;0.01;0.0;0.01;4000;2;True;0.74;0.72
model_cat_lr0.0075;gradient;1;0;20;0.1;30;0.01;0.0;0.01;4000;3;True;0.74;0.72
model_cat_lr0.0075;gradient;1;0;20;0.1;30;0.01;0.0;0.01;4000;4;True;0.74;0.72
model_cat_lr0.0075;gradient;1;0;20;0.1;30;0.01;0.0;0.01;4000;5;True;0.74;0.72
model_cat_lr0.0075;gradient;1;0;20;0.1;30;0.01;0.2;0.01;2000;1;True;0.74;0.72
model_cat_lr0.0075;gradient;1;0;20;0.1;30;0.01;0.2;0.01;2000;2;True;0.74;0.72
model_cat_lr0.0075;gradient;1;0;20;0.1;30;0.01;0.2;0.01;2000;3;True;0.74;0.72
model_cat_lr0.0075;gradient;1;0;20;0.1;30;0.01;0.2;0.01;2000;4;True;0.74;0.72
